Região,Código da Região,Unidade da Federação,Sigla da Unidade da Federação,Código da Unidade da Federação,Município,Código do Múnicipio,Está em Uma Capital,pk_localização_geográfica
Norte,1,Tocantins,TO,17,Augustin polis,1702554,Não está na capital,1179
Norte,1,Par ,PA,15,Paragominas,1505502,Não está na capital,1180
Nordeste,2,Piau ,PI,22,S o Raimundo Nonato,2210607,Não está na capital,1181
Norte,1,Par ,PA,15,Novo Progresso,1505031,Não está na capital,1182
Norte,1,Par ,PA,15,Breves,1501808,Não está na capital,1183
Nordeste,2,Cear ,CE,23,Limoeiro do Norte,2307601,Não está na capital,1184
Nordeste,2,Maranh o,MA,21,Lago da Pedra,2105708,Não está na capital,1185
Centro-Oeste,5,Goi s,GO,52,Novo Gama,5215231,Não está na capital,1186
Nordeste,2,Cear ,CE,23,Baturit ,2302107,Não está na capital,1187
Centro-Oeste,5,Goi s,GO,52,Padre Bernardo,5215603,Não está na capital,1188
Nordeste,2,Maranh o,MA,21,S o Mateus do Maranh o,2111508,Não está na capital,1189
Nordeste,2,Piau ,PI,22,S o Jo o do Piau ,2210003,Não está na capital,1190
Sudeste,3,S o Paulo,SP,35,Itapevi,3522505,Não está na capital,1191
Sudeste,3,S o Paulo,SP,35,Pomp ia,3540002,Não está na capital,1192
Sul,4,Paran ,PR,41,Arapongas,4101507,Não está na capital,1193
Sudeste,3,S o Paulo,SP,35,Diadema,3513801,Não está na capital,1194
Nordeste,2,Maranh o,MA,21,A ail ndia,2100055,Não está na capital,1195
Sudeste,3,S o Paulo,SP,35,Aruj ,3503901,Não está na capital,1196
Nordeste,2,Maranh o,MA,21,Parnarama,2107803,Não está na capital,1197
Norte,1,Par ,PA,15,Igarap -Miri,1503309,Não está na capital,1198
Sudeste,3,Minas Gerais,MG,31,Ara ua ,3103405,Não está na capital,1199
Nordeste,2,Bahia,BA,29,Concei  o do Coit ,2908408,Não está na capital,1200
Nordeste,2,Cear ,CE,23,Maracana ,2307650,Não está na capital,1201
Sudeste,3,S o Paulo,SP,35,Ca apava,3508504,Não está na capital,1202
Sudeste,3,Minas Gerais,MG,31,Guanh es,3128006,Não está na capital,1203
Nordeste,2,Maranh o,MA,21,Cod ,2103307,Não está na capital,1204
Sudeste,3,S o Paulo,SP,35,Martin polis,3529203,Não está na capital,1205
Nordeste,2,Piau ,PI,22,Campo Maior,2202208,Não está na capital,1206
Nordeste,2,Piau ,PI,22,Elesb o Veloso,2203503,Não está na capital,1207
Sudeste,3,S o Paulo,SP,35,Tagua ,3553005,Não está na capital,1208
Nordeste,2,Maranh o,MA,21,Barra do Corda,2101608,Não está na capital,1209
Nordeste,2,Sergipe,SE,28,Canind  de S o Francisco,2801207,Não está na capital,1210
Sudeste,3,S o Paulo,SP,35,Piratininga,3539400,Não está na capital,1211
Nordeste,2,Maranh o,MA,21,Santa In s,2109908,Não está na capital,1212
Sul,4,Paran ,PR,41,Cianorte,4105508,Não está na capital,1213
Nordeste,2,Pernambuco,PE,26,Nazar  da Mata,2609501,Não está na capital,1214
Sudeste,3,Minas Gerais,MG,31,Ribeir o das Neves,3154606,Não está na capital,1215
Nordeste,2,Maranh o,MA,21,Bacabeira,2101251,Não está na capital,1216
Nordeste,2,Cear ,CE,23,Cascavel,2303501,Não está na capital,1217
Sudeste,3,S o Paulo,SP,35,Santana de Parna ba,3547304,Não está na capital,1218
Nordeste,2,Para ba,PB,25,Guarabira,2506301,Não está na capital,1219
Centro-Oeste,5,Goi s,GO,52,Indiara,5209952,Não está na capital,1220
Nordeste,2,Cear ,CE,23,Horizonte,2305233,Não está na capital,1221
Nordeste,2,Cear ,CE,23,Milh ,2308351,Não está na capital,1222
Sul,4,Paran ,PR,41,Barrac o,4102604,Não está na capital,1223
Sudeste,3,Minas Gerais,MG,31,S o Francisco,3161106,Não está na capital,1224
Sul,4,Paran ,PR,41,Terra Boa,4127205,Não está na capital,1225
Nordeste,2,Cear ,CE,23,Alto Santo,2300705,Não está na capital,1226
Sudeste,3,S o Paulo,SP,35,Votorantim,3557006,Não está na capital,1227
Centro-Oeste,5,Goi s,GO,52,Palmeiras de Goi s,5215702,Não está na capital,1228
Norte,1,Par ,PA,15,S o F lix do Xingu,1507300,Não está na capital,1229
Nordeste,2,Sergipe,SE,28,Umba ba,2807600,Não está na capital,1230
Nordeste,2,Cear ,CE,23,Pacajus,2309607,Não está na capital,1231
Nordeste,2,Maranh o,MA,21,Pinheiro,2108603,Não está na capital,1232
Nordeste,2,Para ba,PB,25,Sousa,2516201,Não está na capital,1233
